Sample	pe_sense	pe_antisense	failed
DDB-I-SF-S1-001-A6-RNAseq_S14	0.0243	0.4511	0.5246
DDB-PD-003-AMBR-R9--S12-RNAseq_S7	0.0276	0.3959	0.5764
DDB-PD-004-AMBR-R1--S02-RNAseq_S15	0.0398	0.4001	0.5602
DDB-PD-004-AMBR-R1--S07-RNAseq_S16	0.0277	0.3759	0.5965
DDB-PD-004-AMBR-R6--S10-RNAseq_S17	0.0249	0.413	0.562
DDB-PD-004-AMBR-R7--S10-RNAseq_S18	0.026	0.3974	0.5766
DDB-PD-004-AMBR-R8--S10-RNAseq_S19	0.0243	0.41	0.5657
DDB-PD-006-AMBR-R2--S07-RNAseq_S21	0.0278	0.371	0.6011
DDB-PD-006-AMBR-R2--S10-RNAseq2_S27	0.0251	0.4342	0.5408
DDB-PD-006-AMBR-R4--S02-RNAseq_S20	0.0227	0.4336	0.5437
DDB-PD-006-AMBR-R4--S07-RNAseq_S22	0.0249	0.3857	0.5894
DDB-PD-006-AMBR-R4--S10-RNAseq_S28	0.0236	0.4179	0.5585
DDB-PD-006-AMBR-R5--S07-RNAseq2_S23	0.0241	0.4236	0.5523
DDB-PD-006-AMBR-R5--S10-RNAseq_S8	0.0478	0.3866	0.5656
DDB-PD-006-AMBR-R6--S07-RNAseq2_S24	0.0199	0.4389	0.5412
DDB-PD-006-AMBR-R6--S10-RNAseq_S9	0.0209	0.4435	0.5355
DDB-PD-006-AMBR-R7--S07-RNAseq2_S25	0.0235	0.4497	0.5269
DDB-PD-006-AMBR-R7--S10-RNAseq_S10	0.0208	0.4397	0.5395
DDB-PD-006-AMBR-R8--S09-RNAseq2_S26	0.0294	0.4654	0.5052
DDB-PD-009-AMBR-R1--S02-RNAseq_S11	0.0241	0.4345	0.5414
DDB-PD-009-AMBR-R1--S07-RNAseq_S36	0.0348	0.436	0.5292
DDB-PD-009-AMBR-R1--S10-RNAseq_S2	0.028	0.3912	0.5808
DDB-PD-009-AMBR-R10--S03-RNAseq_S34	0.0295	0.4552	0.5153
DDB-PD-009-AMBR-R10--S09-RNAseq_S44	0.0237	0.4397	0.5366
DDB-PD-009-AMBR-R11--S03-RNAseq_S35	0.0257	0.4675	0.5067
DDB-PD-009-AMBR-R11--S09-RNAseq_S1	0.0266	0.4084	0.565
DDB-PD-009-AMBR-R2--S02-RNAseq_S12	0.0234	0.4065	0.5701
DDB-PD-009-AMBR-R2--S07-RNAseq_S37	0.0375	0.4282	0.5343
DDB-PD-009-AMBR-R2--S10-RNAseq_S3	0.0294	0.3631	0.6075
DDB-PD-009-AMBR-R4--S02-RNAseq_S13	0.0225	0.4058	0.5716
DDB-PD-009-AMBR-R4--S07-RNAseq_S38	0.0234	0.4492	0.5274
DDB-PD-009-AMBR-R4--S10-RNAseq_S4	0.0293	0.3839	0.5868
DDB-PD-009-AMBR-R5--S02-RNAseq_S29	0.0255	0.4313	0.5432
DDB-PD-009-AMBR-R5--S07-RNAseq_S39	0.034	0.4272	0.5388
DDB-PD-009-AMBR-R5--S10-RNAseq_S5	0.0389	0.39	0.5711
DDB-PD-009-AMBR-R6--S02-RNAseq_S30	0.0273	0.4308	0.5419
DDB-PD-009-AMBR-R6--S07-RNAseq_S40	0.034	0.4179	0.5481
DDB-PD-009-AMBR-R6--S10-RNAseq_S6	0.0309	0.411	0.5581
DDB-PD-009-AMBR-R7--S02-RNAseq_S31	0.0257	0.4278	0.5465
DDB-PD-009-AMBR-R7--S07-RNAseq_S41	0.0299	0.4316	0.5385
DDB-PD-009-AMBR-R8--S02-RNAseq_S32	0.0251	0.4432	0.5316
DDB-PD-009-AMBR-R8--S07-RNAseq_S42	0.0241	0.4451	0.5308
DDB-PD-009-AMBR-R9--S02-RNAseq_S33	0.028	0.4178	0.5542
DDB-PD-009-AMBR-R9--S07-RNAseq_S43	0.0244	0.4275	0.5481
