Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DDB-I-SF-S1-001-A6-RNAseq_S14	DDB-I-SF-S1-001-A6-RNAseq_S14_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1698208.0	0.0	20-151	51.0	29.156987619848362	132.59015032316418	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
DDB-PD-003-AMBR-R9--S12-RNAseq_S7	DDB-PD-003-AMBR-R9--S12-RNAseq_S7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3803846.0	0.0	20-151	53.0	23.073234410352224	134.1806642540208	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
DDB-PD-004-AMBR-R1--S02-RNAseq_S15	DDB-PD-004-AMBR-R1--S02-RNAseq_S15_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	778724.0	0.0	20-151	82.0	18.46880086712347	145.3351944976654	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
DDB-PD-004-AMBR-R1--S07-RNAseq_S16	DDB-PD-004-AMBR-R1--S07-RNAseq_S16_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1814352.0	0.0	20-151	51.0	33.912366793376655	132.863735372188	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DDB-PD-004-AMBR-R6--S10-RNAseq_S17	DDB-PD-004-AMBR-R6--S10-RNAseq_S17_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1564726.0	0.0	20-151	51.0	29.320785007398136	135.11663511694698	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
DDB-PD-004-AMBR-R7--S10-RNAseq_S18	DDB-PD-004-AMBR-R7--S10-RNAseq_S18_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2764193.0	0.0	20-151	51.0	23.97197227104842	132.90140594379625	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
DDB-PD-004-AMBR-R8--S10-RNAseq_S19	DDB-PD-004-AMBR-R8--S10-RNAseq_S19_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2129414.0	0.0	20-151	51.0	33.02146135135313	133.99718420185084	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DDB-PD-006-AMBR-R2--S07-RNAseq_S21	DDB-PD-006-AMBR-R2--S07-RNAseq_S21_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1662329.0	0.0	20-151	51.0	31.169532130886747	131.57283846940047	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
DDB-PD-006-AMBR-R2--S10-RNAseq2_S27	DDB-PD-006-AMBR-R2--S10-RNAseq2_S27_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2746308.0	0.0	20-151	51.0	28.691541354543617	136.28838862938898	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DDB-PD-006-AMBR-R4--S02-RNAseq_S20	DDB-PD-006-AMBR-R4--S02-RNAseq_S20_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2319936.0	0.0	20-151	51.0	27.26158523602267	136.28343497406826	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
DDB-PD-006-AMBR-R4--S07-RNAseq_S22	DDB-PD-006-AMBR-R4--S07-RNAseq_S22_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1689016.0	0.0	20-151	51.0	32.63121287287837	135.26439477186716	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DDB-PD-006-AMBR-R4--S10-RNAseq_S28	DDB-PD-006-AMBR-R4--S10-RNAseq_S28_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2783287.0	0.0	20-151	51.0	29.61243323897433	134.59480319492744	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DDB-PD-006-AMBR-R5--S07-RNAseq2_S23	DDB-PD-006-AMBR-R5--S07-RNAseq2_S23_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2139141.0	0.0	20-151	51.0	32.529358877440714	134.46178302412042	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
