Sample	pe_sense	pe_antisense	failed
DDB-I-SF-S1-001-A4-RNAseq_S14	0.024	0.4523	0.5238
DDB-PD-004-AMBR-R1--S10-RNAseq_S16	0.0184	0.4202	0.5614
DDB-PD-004-AMBR-R2--S10-RNAseq_S17	0.0228	0.4087	0.5684
DDB-PD-004-AMBR-R3--S10-RNAseq_S18	0.2389	0.2414	0.5197
DDB-PD-004-AMBR-R4--S07-RNAseq_S10	0.0276	0.3829	0.5895
DDB-PD-004-AMBR-R4--S10-RNAseq_S19	0.021	0.4155	0.5636
DDB-PD-004-AMBR-R5--S07-RNAseq_S11	0.0241	0.4064	0.5696
DDB-PD-004-AMBR-R5--S10-RNAseq_S20	0.0208	0.41	0.5692
DDB-PD-004-AMBR-R6--S07-RNAseq_S12	0.026	0.3653	0.6087
DDB-PD-004-AMBR-R7--S07-RNAseq_S13	0.0151	0.4049	0.58
DDB-PD-004-AMBR-R8--S07-RNAseq_S15	0.0219	0.4053	0.5728
DDB-PD-005-AMBR-R1--S02-RNAseq_S21	0.0198	0.4456	0.5346
DDB-PD-005-AMBR-R2--S02-RNAseq_S22	0.0186	0.4435	0.5379
DDB-PD-005-AMBR-R3--S02-RNAseq_S23	0.0206	0.4481	0.5313
