Sample	pe_sense	pe_antisense	failed
DDB-I-SF-S1-001-A3_S21	0.5017	0.0213	0.477
DDB-PD-003-AMBR-R10--S03-RNA_S2	0.4957	0.0175	0.4868
DDB-PD-003-AMBR-R10--S07-RNA_S8	0.4651	0.0211	0.5138
DDB-PD-003-AMBR-R10--S12-RNA_S13	0.4763	0.0197	0.5039
DDB-PD-003-AMBR-R15--S03-RNA_S3	0.4841	0.0229	0.4931
DDB-PD-003-AMBR-R15--S07-RNA_S9	0.5075	0.0403	0.4522
DDB-PD-003-AMBR-R15--S12-RNA_S14	0.4673	0.0227	0.51
DDB-PD-003-AMBR-R16--S03-RNA_S4	0.4766	0.0224	0.5009
DDB-PD-003-AMBR-R16--S07-RNA_S10	0.4751	0.0218	0.5032
DDB-PD-003-AMBR-R16--S12-RNA_S15	0.4593	0.0206	0.5202
DDB-PD-003-AMBR-R21--S03-RNA_S5	0.4666	0.0188	0.5146
DDB-PD-003-AMBR-R21--S07-RNA_S11	0.467	0.023	0.51
DDB-PD-003-AMBR-R21--S12-RNA_S16	0.459	0.0223	0.5187
DDB-PD-003-AMBR-R22--S03-RNA_S6	0.4745	0.0246	0.5008
DDB-PD-003-AMBR-R22--S07-RNA_S12	0.4756	0.0213	0.503
DDB-PD-003-AMBR-R22--S12-RNA_S17	0.4585	0.0221	0.5194
DDB-PD-003-AMBR-R9--S03-RNA_S1	0.4723	0.0209	0.5069
DDB-PD-003-AMBR-R9--S07-RNA_S7	0.4707	0.0203	0.509
DDB-PD-009-AMBR-R11--S11-RNA_S20	0.4905	0.0184	0.4911
DDB-PD-009-AMBR-R7--S10-RNA_S18	0.4443	0.0213	0.5344
DDB-PD-009-AMBR-R8--S10-RNA_S19	0.4773	0.0205	0.5022
