Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
DDB-I-SF-S1-001-A7	4965049.0	4645409.0	93.56	319640.0	6.44
DDB-PD-038-AMBR-R10-S03	5699562.0	5291376.0	92.84	408186.0	7.16
DDB-PD-038-AMBR-R10-S07	4209702.0	3928148.0	93.31	281554.0	6.69
DDB-PD-038-AMBR-R11-S03	5870576.0	5500120.0	93.69	370456.0	6.31
DDB-PD-038-AMBR-R11-S07	5284775.0	4909259.0	92.89	375516.0	7.11
DDB-PD-038-AMBR-R11-S11	5140114.0	4824374.0	93.86	315740.0	6.14
DDB-PD-038-AMBR-R12-S03	5192686.0	4856313.0	93.52	336373.0	6.48
DDB-PD-038-AMBR-R12-S07	5287728.0	4951187.0	93.64	336541.0	6.36
DDB-PD-038-AMBR-R12-S11	5210749.0	4881534.0	93.68	329215.0	6.32
DDB-PD-038-AMBR-R5-S03	3727898.0	3515688.0	94.31	212210.0	5.69
DDB-PD-038-AMBR-R5-S07	3675201.0	3466991.0	94.33	208210.0	5.67
DDB-PD-038-AMBR-R5-S11	4238267.0	4013661.0	94.7	224606.0	5.3
DDB-PD-038-AMBR-R6-S03	4483263.0	4232902.0	94.42	250361.0	5.58
DDB-PD-038-AMBR-R6-S07	3929860.0	3715444.0	94.54	214416.0	5.46
DDB-PD-038-AMBR-R6-S11	3477814.0	3284266.0	94.43	193548.0	5.57
DDB-PD-038-AMBR-R7-S03	5291824.0	4982256.0	94.15	309568.0	5.85
DDB-PD-038-AMBR-R7-S07	4138384.0	3910550.0	94.49	227834.0	5.51
DDB-PD-038-AMBR-R7-S11	6579611.0	6175880.0	93.86	403731.0	6.14
DDB-PD-038-AMBR-R8-S03	4916329.0	4544367.0	92.43	371962.0	7.57
DDB-PD-038-AMBR-R8-S07	5527460.0	5194414.0	93.97	333046.0	6.03
DDB-PD-038-AMBR-R8-S11	5559356.0	5213088.0	93.77	346268.0	6.23
DDB-PD-038-AMBR-R9-S03	4333729.0	4033796.0	93.08	299933.0	6.92
DDB-PD-038-AMBR-R9-S07	4318542.0	4041299.0	93.58	277243.0	6.42
