Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
DDB-I-SF-S1-001-A7	4965049	3665123	122816	319640	0	0	0	0	13743	0	0	0	0	637604	196410	9713	73.81846583991417
DDB-PD-038-AMBR-R10-S03	5699562	4406543	42288	408186	0	0	0	0	13514	0	0	0	0	530652	283984	14395	77.31371287828784
DDB-PD-038-AMBR-R10-S07	4209702	3228779	25493	281554	0	0	0	0	8120	0	0	0	0	503285	156613	5858	76.69851690214652
DDB-PD-038-AMBR-R11-S03	5870576	4568471	32591	370456	0	0	0	0	12206	0	0	0	0	575982	298569	12301	77.81980848216598
DDB-PD-038-AMBR-R11-S07	5284775	3850165	55199	375516	0	0	0	0	10156	0	0	0	0	790310	197661	5768	72.85390579542175
DDB-PD-038-AMBR-R11-S11	5140114	3797915	20362	315740	0	0	0	0	11063	0	0	0	0	776416	210867	7751	73.88775813143444
DDB-PD-038-AMBR-R12-S03	5192686	3994307	53519	336373	0	0	0	0	17664	0	0	0	0	521237	258422	11164	76.92178960946224
DDB-PD-038-AMBR-R12-S07	5287728	3948634	94983	336541	0	0	0	0	18251	0	0	0	0	694050	187299	7970	74.67543716318237
DDB-PD-038-AMBR-R12-S11	5210749	3788249	100327	329215	0	0	0	0	10701	0	0	0	0	796711	179605	5941	72.70066165152073
DDB-PD-038-AMBR-R5-S03	3727898	2791387	132909	212210	0	0	0	0	20803	0	0	0	0	394681	170382	5526	74.87830943872392
DDB-PD-038-AMBR-R5-S07	3675201	2600220	131847	208210	0	0	0	0	19460	0	0	0	0	550464	160484	4516	70.75041609969087
DDB-PD-038-AMBR-R5-S11	4238267	3078448	102204	224606	0	0	0	0	23029	0	0	0	0	610584	193160	6236	72.63459333732396
DDB-PD-038-AMBR-R6-S03	4483263	3344267	158605	250361	0	0	0	0	28295	0	0	0	0	479382	216011	6342	74.59448620346386
DDB-PD-038-AMBR-R6-S07	3929860	2861168	173488	214416	0	0	0	0	15262	0	0	0	0	491229	168733	5564	72.80585059009735
DDB-PD-038-AMBR-R6-S11	3477814	2556409	46185	193548	0	0	0	0	18018	0	0	0	0	503021	154938	5695	73.50620245936096
DDB-PD-038-AMBR-R7-S03	5291824	4141954	126668	309568	0	0	0	0	21101	0	0	0	0	437166	244419	10948	78.27081928650689
DDB-PD-038-AMBR-R7-S07	4138384	2637308	588307	227834	0	0	0	0	26756	0	0	0	0	507550	144897	5732	63.72796724518556
DDB-PD-038-AMBR-R7-S11	6579611	4926679	134564	403731	0	0	0	0	14116	0	0	0	0	767343	321415	11763	74.8779677096412
DDB-PD-038-AMBR-R8-S03	4916329	3826504	46891	371962	0	0	0	0	13098	0	0	0	0	383569	264513	9792	77.83254538091327
DDB-PD-038-AMBR-R8-S07	5527460	4164618	86262	333046	0	0	0	0	10947	0	0	0	0	667136	256199	9252	75.34415445792462
DDB-PD-038-AMBR-R8-S11	5559356	4173169	77714	346268	0	0	0	0	14491	0	0	0	0	683017	254897	9800	75.06569106205828
DDB-PD-038-AMBR-R9-S03	4333729	3297350	53054	299933	0	0	0	0	10531	0	0	0	0	438065	225381	9415	76.08574509389028
DDB-PD-038-AMBR-R9-S07	4318542	3244218	35130	277243	0	0	0	0	11753	0	0	0	0	564518	179396	6284	75.12299289899231
