Sample	pe_sense	pe_antisense	failed
DDB-I-SF-S1-001-A7	0.0155	0.4652	0.5193
DDB-PD-038-AMBR-R10-S03	0.0225	0.4385	0.539
DDB-PD-038-AMBR-R10-S07	0.0149	0.4704	0.5147
DDB-PD-038-AMBR-R11-S03	0.0186	0.4315	0.5499
DDB-PD-038-AMBR-R11-S07	0.0123	0.496	0.4918
DDB-PD-038-AMBR-R11-S11	0.0144	0.4688	0.5167
DDB-PD-038-AMBR-R12-S03	0.0191	0.4338	0.5472
DDB-PD-038-AMBR-R12-S07	0.0108	0.4761	0.5131
DDB-PD-038-AMBR-R12-S11	0.0188	0.3823	0.599
DDB-PD-038-AMBR-R5-S03	0.0271	0.4238	0.5492
DDB-PD-038-AMBR-R5-S07	0.0317	0.434	0.5343
DDB-PD-038-AMBR-R5-S11	0.0274	0.4296	0.5431
DDB-PD-038-AMBR-R6-S03	0.0272	0.4279	0.5449
DDB-PD-038-AMBR-R6-S07	0.0234	0.4125	0.5641
DDB-PD-038-AMBR-R6-S11	0.0284	0.4353	0.5363
DDB-PD-038-AMBR-R7-S03	0.0237	0.4067	0.5696
DDB-PD-038-AMBR-R7-S07	0.0268	0.3719	0.6013
DDB-PD-038-AMBR-R7-S11	0.0193	0.4187	0.562
DDB-PD-038-AMBR-R8-S03	0.0167	0.4202	0.5631
DDB-PD-038-AMBR-R8-S07	0.0166	0.426	0.5573
DDB-PD-038-AMBR-R8-S11	0.0177	0.4309	0.5513
DDB-PD-038-AMBR-R9-S03	0.0227	0.4382	0.5391
DDB-PD-038-AMBR-R9-S07	0.0161	0.4765	0.5074
