Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
DDB__HMP3397_fast_batch_12h__1	11812336	264556	10604380	495552	0	0	0	0	20577	0	0	0	0	410648	16173	450	2.2396586077470197
DDB__HMP3397_fast_batch_12h__2	13298494	6603634	957943	2981139	0	0	0	0	168172	0	0	0	0	2206647	373600	7359	49.657006274545076
DDB__HMP3397_fast_feed_18h__1	12284145	2810549	4257873	2973900	0	0	0	0	115845	0	0	0	0	1938854	183347	3777	22.879484082937804
DDB__HMP3397_fast_feed_18h__2	12846791	4154556	1246656	4128779	0	0	0	0	149025	0	0	0	0	2909232	252992	5551	32.33925110169536
DDB__HMP3397_fast_feed_28h__1	11810572	1880982	5051380	1037084	0	0	0	0	391117	0	0	0	0	3314516	134051	1442	15.92625657758151
DDB__HMP3397_fast_feed_28h__2	14075952	1315104	8878145	1009098	0	0	0	0	213731	0	0	0	0	2564595	94285	994	9.342913360318365
DDB__HMP3397_fast_feed_3h__1	13656387	4217010	4621647	2642352	0	0	0	0	220024	0	0	0	0	1701496	248814	5044	30.879397310577094
DDB__HMP3397_fast_feed_3h__2	13983423	5242536	2906536	3164110	0	0	0	0	225831	0	0	0	0	2159230	280303	4877	37.49107782836864
DDB__HMP3397_slow_batch_12h__1	13818405	4265974	5346868	2171707	0	0	0	0	155100	0	0	0	0	1612392	260556	5808	30.871681644878695
DDB__HMP3397_slow_batch_12h__2	14230948	7241094	694114	3307569	0	0	0	0	161712	0	0	0	0	2376124	440106	10229	50.88272404621252
DDB__HMP3397_slow_feed_53h__1	12191408	2897891	3613743	3198628	0	0	0	0	191612	0	0	0	0	2107835	177587	4112	23.76994519418922
DDB__HMP3397_slow_feed_53h__2	465478	103213	194602	103131	0	0	0	0	10738	0	0	0	0	49044	4652	98	22.1735506296753
DDB__HMP3397_slow_feed_7h__1	12691797	3176058	4518772	2327619	0	0	0	0	243431	0	0	0	0	2245753	176361	3803	25.024494167374407
DDB__HMP3397_slow_feed_7h__2	11569741	3184025	3549774	2188694	0	0	0	0	272157	0	0	0	0	2193439	177875	3777	27.520278975994362
DDB__HMP3397_slow_feed_86h__1	7473774	1078515	2775679	779241	0	0	0	0	261589	0	0	0	0	2496654	81013	1083	14.430661135859873
DDB__HMP3397_slow_feed_86h__2	14515547	1076830	8961762	914791	0	0	0	0	219093	0	0	0	0	3258656	83292	1123	7.4184596694840375
DDB__HMP3427_fast_batch_12h__1	12342934	4105024	4203868	2007106	0	0	0	0	148768	0	0	0	0	1614307	258809	5052	33.25808920310195
DDB__HMP3427_fast_batch_12h__2	13180986	5830747	2133190	2679826	0	0	0	0	139325	0	0	0	0	2038971	350777	8150	44.236045770779214
DDB__HMP3427_fast_feed_18h__1	12092511	3468848	3783293	2950492	0	0	0	0	133401	0	0	0	0	1550788	201164	4525	28.685919739911753
DDB__HMP3427_fast_feed_18h__2	14262871	5688951	1496103	4122533	0	0	0	0	154777	0	0	0	0	2482104	311389	7014	39.886436608730456
DDB__HMP3427_fast_feed_28h__1	14062033	1985589	6967623	1269784	0	0	0	0	314126	0	0	0	0	3394481	128905	1525	14.120212916581835
DDB__HMP3427_fast_feed_28h__2	10792270	1618028	4875471	1082197	0	0	0	0	266671	0	0	0	0	2843081	105540	1282	14.992471463371468
DDB__HMP3427_fast_feed_3h__1	123863	18699	54625	33801	0	0	0	0	8504	0	0	0	0	7157	1052	25	15.096517927064578
DDB__HMP3427_fast_feed_3h__2	14335467	5069834	3570754	3440488	0	0	0	0	107891	0	0	0	0	1870714	268938	6848	35.365670333585925
DDB__HMP3427_slow_batch_12h__1	13528699	4330389	5021879	2207907	0	0	0	0	108956	0	0	0	0	1590606	262443	6519	32.00890935632466
DDB__HMP3427_slow_batch_12h__2	14061219	5494472	3527653	2524722	0	0	0	0	130959	0	0	0	0	2037983	337624	7806	39.075360393718356
DDB__HMP3427_slow_feed_53h__1	12564845	3433799	2695285	3638542	0	0	0	0	186897	0	0	0	0	2400214	205180	4928	27.328622040303717
DDB__HMP3427_slow_feed_53h__2	14358948	4171637	2083524	4428014	0	0	0	0	217105	0	0	0	0	3207808	245541	5319	29.05252529642144
DDB__HMP3427_slow_feed_7h__1	12114216	2936710	4670332	2106152	0	0	0	0	354888	0	0	0	0	1865006	177257	3871	24.241849410642835
DDB__HMP3427_slow_feed_7h__2	14103887	211240	12877614	577973	0	0	0	0	20317	0	0	0	0	403783	12609	351	1.4977431398876069
DDB__HMP3427_slow_feed_86h__1	12666526	3763754	3102686	3212673	0	0	0	0	91093	0	0	0	0	2265807	225284	5229	29.714177352180073
DDB__HMP3427_slow_feed_86h__2	14010848	2404609	6828428	2462649	0	0	0	0	142894	0	0	0	0	2031585	137817	2866	17.162480101133067
DDB__MG1655_control_A__1	14575887	6893305	4445745	569109	0	0	0	0	171897	0	0	0	0	2100614	385425	9792	47.292524976353064
DDB__MG1655_control_A__2	19974323	481697	18000917	685948	0	0	0	0	25125	0	0	0	0	752502	27637	497	2.411581108406027
DDB__MG1655_control_B__1	13805046	7454106	2310944	470764	0	0	0	0	426030	0	0	0	0	2680445	452530	10227	53.9955172912861
DDB__MG1655_control_B__2	15170945	9424111	1391165	564536	0	0	0	0	241133	0	0	0	0	3028692	508526	12782	62.11947245211159
