Sample	pe_sense	pe_antisense	failed
DDB-I-SF-S1-001-A8-RNAseq_S22	0.0211	0.4682	0.5107
DDB-PD-019-1L-R28--S05-RNAseq_S1	0.0296	0.4285	0.542
DDB-PD-019-1L-R28--S06-RNAseq_S2	0.0378	0.4381	0.524
DDB-PD-019-1L-R28--S07-RNAseq_S3	0.0387	0.4021	0.5592
DDB-PD-019-1L-R28--S08-RNAseq_S4	0.0371	0.4594	0.5035
DDB-PD-019-1L-R28--S09-RNAseq_S5	0.0318	0.4472	0.5211
DDB-PD-019-1L-R28--S10-RNAseq_S6	0.0316	0.4852	0.4833
DDB-PD-022-30L-R40--S03-RNAseq_S7	0.0247	0.4579	0.5174
DDB-PD-022-30L-R40--S06-RNAseq_S8	0.0298	0.4919	0.4783
DDB-PD-022-30L-R40--S11-RNAseq_S9	0.0209	0.4707	0.5084
DDB-PD-023-AMBR-R1--S02-RNAseq_S10	0.0211	0.4323	0.5466
DDB-PD-023-AMBR-R1--S07-RNAseq_S14	0.0219	0.4176	0.5605
DDB-PD-023-AMBR-R1--S10-RNAseq_S18	0.0224	0.4168	0.5608
DDB-PD-023-AMBR-R2--S02-RNAseq_S11	0.0222	0.4216	0.5562
DDB-PD-023-AMBR-R2--S07-RNAseq_S15	0.0237	0.4128	0.5635
DDB-PD-023-AMBR-R2--S10-RNAseq_S19	0.024	0.4029	0.5731
DDB-PD-023-AMBR-R3--S02-RNAseq_S12	0.0212	0.4396	0.5392
DDB-PD-023-AMBR-R3--S07-RNAseq_S16	0.0223	0.4074	0.5703
DDB-PD-023-AMBR-R3--S10-RNAseq_S21	0.0248	0.4199	0.5553
DDB-PD-023-AMBR-R4--S02-RNAseq_S13	0.0217	0.4103	0.568
DDB-PD-023-AMBR-R4--S07-RNAseq_S17	0.0265	0.4165	0.557
DDB-PD-023-AMBR-R4--S10-RNAseq_S20	0.024	0.4043	0.5717
