Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
DDB-PD-036-AMBR-R13-S02	6198896.0	5898112.0	95.15	300784.0	4.85
DDB-PD-036-AMBR-R13-S10	8387860.0	7898509.0	94.17	489351.0	5.83
DDB-PD-036-AMBR-R14-S02	9855670.0	9369379.0	95.07	486291.0	4.93
DDB-PD-036-AMBR-R14-S10	3298242.0	3093029.0	93.78	205213.0	6.22
DDB-PD-036-AMBR-R15-S02	7211214.0	6837468.0	94.82	373746.0	5.18
DDB-PD-036-AMBR-R15-S10	4605384.0	4356246.0	94.59	249138.0	5.41
DDB-PD-036-AMBR-R16-S10	2801762.0	2627366.0	93.78	174396.0	6.22
DDB-PD-036-AMBR-R17-S02	9403654.0	8945089.0	95.12	458565.0	4.88
DDB-PD-036-AMBR-R17-S10	8136946.0	7678383.0	94.36	458563.0	5.64
DDB-PD-036-AMBR-R18-S02	8708837.0	8278043.0	95.05	430794.0	4.95
DDB-PD-036-AMBR-R18-S10	5638308.0	5322740.0	94.4	315568.0	5.6
DDB-PD-036-AMBR-R19-S02	8720565.0	8280396.0	94.95	440169.0	5.05
DDB-PD-036-AMBR-R19-S10	6469832.0	6082038.0	94.01	387794.0	5.99
DDB-PD-036-AMBR-R20-S02	8131850.0	7744601.0	95.24	387249.0	4.76
DDB-PD-036-AMBR-R20-S10	4318007.0	4067705.0	94.2	250302.0	5.8
DDB-PD-036-AMBR-R21-S02	2522116.0	2347332.0	93.07	174784.0	6.93
DDB-PD-036-AMBR-R21-S07	9447780.0	8935560.0	94.58	512220.0	5.42
DDB-PD-036-AMBR-R22-S02	2878739.0	2682009.0	93.17	196730.0	6.83
DDB-PD-036-AMBR-R22-S07	7555336.0	7153011.0	94.67	402325.0	5.33
DDB-PD-036-AMBR-R23-S02	5799051.0	5475160.0	94.41	323891.0	5.59
DDB-PD-036-AMBR-R23-S07	8909549.0	8295266.0	93.11	614283.0	6.89
DDB-PD-036-AMBR-R24-S02	9430580.0	8906416.0	94.44	524164.0	5.56
NGSDNA22-1_S73	1291863.0	1094393.0	84.71	197470.0	15.29
NGSDNA22-2_S74	1546207.0	1324533.0	85.66	221674.0	14.34
NGSDNA22-3_S75	1222444.0	857257.0	70.13	365187.0	29.87
NGSDNA22-4_S76	1441304.0	1232487.0	85.51	208817.0	14.49
NGSDNA22-5_S77	1776145.0	1511156.0	85.08	264989.0	14.92
NGSDNA22-6_S78	1442046.0	1230027.0	85.3	212019.0	14.7
NGSDNA22-7_S79	1747671.0	1495724.0	85.58	251947.0	14.42
NGSDNA22-8_S80	1907911.0	1627326.0	85.29	280585.0	14.71
