Sample	pe_sense	pe_antisense	failed
DDB-PD-036-AMBR-R13-S02	0.0172	0.4521	0.5306
DDB-PD-036-AMBR-R13-S10	0.0174	0.2851	0.6975
DDB-PD-036-AMBR-R14-S02	0.0163	0.4587	0.525
DDB-PD-036-AMBR-R14-S10	0.024	0.4344	0.5416
DDB-PD-036-AMBR-R15-S02	0.0164	0.4481	0.5355
DDB-PD-036-AMBR-R15-S10	0.0183	0.2724	0.7093
DDB-PD-036-AMBR-R16-S10	0.0314	0.4317	0.537
DDB-PD-036-AMBR-R17-S02	0.0143	0.4498	0.5359
DDB-PD-036-AMBR-R17-S10	0.0186	0.2815	0.6999
DDB-PD-036-AMBR-R18-S02	0.0173	0.4565	0.5262
DDB-PD-036-AMBR-R18-S10	0.0245	0.4331	0.5424
DDB-PD-036-AMBR-R19-S02	0.0154	0.4447	0.54
DDB-PD-036-AMBR-R19-S10	0.0192	0.3668	0.614
DDB-PD-036-AMBR-R20-S02	0.0167	0.4431	0.5402
DDB-PD-036-AMBR-R20-S10	0.0184	0.256	0.7257
DDB-PD-036-AMBR-R21-S02	0.0242	0.496	0.4797
DDB-PD-036-AMBR-R21-S07	0.023	0.4323	0.5448
DDB-PD-036-AMBR-R22-S02	0.0191	0.2898	0.6911
DDB-PD-036-AMBR-R22-S07	0.0228	0.4374	0.5398
DDB-PD-036-AMBR-R23-S02	0.0193	0.344	0.6367
DDB-PD-036-AMBR-R23-S07	0.0197	0.438	0.5423
DDB-PD-036-AMBR-R24-S02	0.0145	0.2985	0.687
NGSDNA22-1_S73	0.2562	0.2444	0.4994
NGSDNA22-2_S74	0.2519	0.2479	0.5002
NGSDNA22-3_S75	0.25	0.2493	0.5007
NGSDNA22-4_S76	0.2509	0.2466	0.5025
NGSDNA22-5_S77	0.2521	0.2445	0.5034
NGSDNA22-6_S78	0.2517	0.2455	0.5029
NGSDNA22-7_S79	0.2533	0.2496	0.4972
NGSDNA22-8_S80	0.253	0.2471	0.4999
