	sample_id	study	project_id	condition_id	rep_id	contact	creator	run_date	Strain Description	Strain	Base Media	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Temperature (C)	pH	Antibiotic for selection	Culture Type	Growth Rate (1/hr)	Evolved Sample	Isolate Type	Sequencing Machine	Additional Details	Biological Replicates	R1	R2	BAM	alignment	DOI	GEO	Published	Platform	LibraryLayout	Unnamed: 36	Unnamed: 37	Unnamed: 38	passed_fastqc	passed_pct_reads_mapped	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_similar_replicates	passed_number_replicates
ecoli_00802	ptrc_reg__wt_glu20_glyc__2	ptrc	ptrc_reg	wt_glu20_glyc	2	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 BW25113		M9	glycerol(4)	glutamate(20mM)	O2			37	7.0		Batch		No		NovaSeq		2	s3://precise-db/raw_data/ytf2/YTF_HRS_WTGlycGlu_Nitr2_S80_L002_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_WTGlycGlu_Nitr2_S80_L002_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:wt_glu20_glyc	True	False
ecoli_00804	ptrc_reg__delyneJ_glu20_glyc__2	ptrc	ptrc_reg	delyneJ_glu20_glyc	2	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655 del_yneJ		M9	glycerol(4)	glutamate(20mM)	O2			37	7.0		Batch		No		NovaSeq		2	s3://precise-db/raw_data/ytf2/YTF_HRS_yneJGlycGlu_Nitr2_S82_L002_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_yneJGlycGlu_Nitr2_S82_L002_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:delyneJ_glu20_glyc	True	False
ecoli_00805	ptrc_reg__wt_ptrc20_glu20_glyc__1	ptrc	ptrc_reg	wt_ptrc20_glu20_glyc	1	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655		M9	glycerol(4)	glutamate(20mM),putrescine(20mM)	O2			37	7.0		Batch		No		NovaSeq		1	s3://precise-db/raw_data/ytf2/YTF_HRS_BW25113PutGlycGlu_S56_L002_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_BW25113PutGlycGlu_S56_L002_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:wt_ptrc20_glu20_glyc	True	False
ecoli_00806	ptrc_reg__delyiaG_ptrc20_glu20_glyc__1	ptrc	ptrc_reg	delyiaG_ptrc20_glu20_glyc	1	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655 del_yiaG		M9	glycerol(4)	glutamate(20mM),putrescine(20mM)	O2			37	7.0		Batch		No		NovaSeq		1	s3://precise-db/raw_data/ytf2/YTF_HRS_yiaGPutGlycGlu_S57_L002_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_yiaGPutGlycGlu_S57_L002_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:delyiaG_ptrc20_glu20_glyc	True	False
ecoli_00807	ptrc_reg__delyneJ_ptrc20_glu20_glyc__1	ptrc	ptrc_reg	delyneJ_ptrc20_glu20_glyc	1	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655 del_yneJ		M9	glycerol(4)	glutamate(20mM),putrescine(20mM)	O2			37	7.0		Batch		No		NovaSeq		1	s3://precise-db/raw_data/ytf2/YTF_HRS_yneJPutGlycGlu_S58_L002_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_yneJPutGlycGlu_S58_L002_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:delyneJ_ptrc20_glu20_glyc	True	False
ecoli_00808	ptrc_reg__wt_ptrc10_gln10_nh4__1	ptrc	ptrc_reg	wt_ptrc10_gln10_nh4	1	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655		M9	glycerol(4)	glutamine(10mM)	O2		putrescine(10mM)	37	7.0		Batch		No		NovaSeq		2	s3://precise-db/raw_data/ytf2/YTF_HRS_WT_Putr10Gln10NH4M9_Rep1_S38_L001_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_WT_Putr10Gln10NH4M9_Rep1_S38_L001_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:wt_ptrc10_gln10_nh4	True	True
ecoli_00809	ptrc_reg__wt_ptrc10_gln10_nh4__2	ptrc	ptrc_reg	wt_ptrc10_gln10_nh4	2	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655		M9	glycerol(4)	glutamine(10mM)	O2		putrescine(10mM)	37	7.0		Batch		No		NovaSeq		2	s3://precise-db/raw_data/ytf2/YTF_HRS_WT_Putr10Gln10NH4M9_Rep2_S39_L001_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_WT_Putr10Gln10NH4M9_Rep2_S39_L001_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:wt_ptrc10_gln10_nh4	True	True
ecoli_00810	ptrc_reg__delyiaG_ptrc10_gln10_nh4__1	ptrc	ptrc_reg	delyiaG_ptrc10_gln10_nh4	1	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655 del_yiaG		M9	glycerol(4)	glutamine(10mM)	O2		putrescine(10mM)	37	7.0		Batch		No		NovaSeq		2	s3://precise-db/raw_data/ytf2/YTF_HRS_yiaG_Putr10Gln10NH4M9_Rep1_S34_L001_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_yiaG_Putr10Gln10NH4M9_Rep1_S34_L001_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:delyiaG_ptrc10_gln10_nh4	True	True
ecoli_00811	ptrc_reg__delyiaG_ptrc10_gln10_nh4__2	ptrc	ptrc_reg	delyiaG_ptrc10_gln10_nh4	2	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655 del_yiaG		M9	glycerol(4)	glutamine(10mM)	O2		putrescine(10mM)	37	7.0		Batch		No		NovaSeq		2	s3://precise-db/raw_data/ytf2/YTF_HRS_yiaG_Putr10Gln10NH4M9_Rep2_S35_L001_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_yiaG_Putr10Gln10NH4M9_Rep2_S35_L001_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:delyiaG_ptrc10_gln10_nh4	True	True
ecoli_00813	ptrc_reg__delyneJ_ptrc10_gln10_nh4__2	ptrc	ptrc_reg	delyneJ_ptrc10_gln10_nh4	2	Irina Rodionova	Irina Rodionova		Escherichia coli K-12 MG1655 del_yneJ		M9	glycerol(4)	glutamine(10mM)	O2		putrescine(10mM)	37	7.0		Batch		No		NovaSeq		2	s3://precise-db/raw_data/ytf2/YTF_HRS_yneJ_Putr10Gln10NH4M9_Rep2_S37_L001_R1_001.fastq.gz	s3://precise-db/raw_data/ytf2/YTF_HRS_yneJ_Putr10Gln10NH4M9_Rep2_S37_L001_R2_001.fastq.gz						ILLUMINA	PAIRED				True	True	True	True	ptrc_reg:delyneJ_ptrc10_gln10_nh4	True	False
