,component,name,TF,log_odds,f1score,pvalue,precision,recall,TP,n_genes,n_tf,Regulator,Function,Category,threshold,PRECISE_name,Cam confidence,Cam note
0,0,Nitrogen,,,,,,,,2,,,Nitrate/nitrite/nitric oxide response,Biological Enrichment,0.257488575,nitrate-related,High,Single operon
1,1,CysB-1,cysB,7.5885538,0.465116279,9.99E-22,0.909090909,0.3125,10,11,1,cysB,Inorganic sulfate assimilation,Amino Acid and Nucleotide Biosynthesis,0.088486212,,High,
2,2,YiaJ,yiaJ,inf,0.952380952,1.56E-29,1,0.909090909,10,10,1,yiaJ,Ascorbate utilization,Carbon Source Utilization,0.087589132,YiaJ,High,
3,3,PhoB-1,phoB,5.936239248,0.476190476,1.53E-34,0.769230769,0.344827586,20,26,1,phoB,Phosphorus uptake and metabolism,Miscellaneous Metabolism,0.053375298,,High,
4,4,NtrC+RpoN-1,ntrC+rpoN,5.861941,0.235294,1.72E-11,0.75,0.139535,6,8,2,ntrC and rpoN,Nitrogen starvation response,Stress Response,0.071670725,NtrC+RpoN,High,
5,5,SR-noise-1,,,,,,,,3,,,Accounts for short reads,Biological Enrichment,0.112826131,,High,
6,6,e14-prophage-1,,,,,,,,17,,,Accounts for e14 prophage sequences,Biological Enrichment,0.061732594,,High,
7,7,PrpR,prpR,9.769498913,0.8,1.63E-12,0.8,0.8,4,5,1,prpR,Propionate catabolism,Carbon Source Utilization,0.076563164,PrpR,High,
8,8,GadEWX,gadE+gadW+gadX,7.94E+00,6.67E-01,3.88E-22,5.63E-01,8.18E-01,9,16,3,gadE and gadW and gadX,Acid stress response,Stress Response,0.044534116,GadEWX,High,
9,9,ins-elements-1,,,,,,,,26,,,Accounts for insertion sequences from CCK project,Biological Enrichment,0.067768642,,High,
10,10,CP4-57-prophage-1,,,,,,,,2,,,Accounts for prophage sequences,Biological Enrichment,0.100014621,,High,
11,11,sdh-KO,,,,,,,,5,,,Accounts for sdh KO,Genomic Alterations,0.076397463,,High,
12,12,MarR/ComR,marR/comR,inf,0.666667,4.58E-12,0.5,1,4,8,2,marR or comR,Antibiotic resistance,Stress Response,0.096971391,,Medium,
13,13,Toxin,,,,,,,,12,,,Accounts for short toxin-antitoxin-encoding genes,Biological Enrichment,0.083066346,,High,
14,14,ProVWX,,,,,,,,3,,,Glycine betaine transport,Biological Enrichment,0.209837221,proVWX,High,
15,15,uncharacterized-7,,,,,,,,12,,,Unknown function,Uncharacterized,0.062800461,,Low,
16,16,cspH,,,,,,,,1,,,Accounts for replication inhibitor cspH,Biological Enrichment,0.323172959,,High,
17,17,SR-noise-2,,,,,,,,1,,,Accounts for ibsA toxin,Biological Enrichment,0.348876108,,High,
18,18,ins-elements-2,,,,,,,,2,,,Accounts for inactive transposase,Biological Enrichment,0.083852109,,High,
19,19,TyrR,tyrR,8.718074774,0.7,1.04E-18,0.875,0.583333333,7,8,1,tyrR,Aromatic amino acid synthesis and transport,Amino Acid and Nucleotide Biosynthesis,0.09345086,,High,
20,20,FDH-O,,,,,,,,7,,,Accounts for formate dehydrogenase subunits,Biological Enrichment,0.104195899,,High,
21,21,Iron Uptake,,,,,,,,6,,,Related to iron uptake,Biological Enrichment,0.076164243,iron-related,High,
22,22,UK-noise-1,,,,,,,,4,,,Accounts for b4730,Biological Enrichment,0.081909289,,High,
23,23,tnaABC,,,,,,,,3,,,Accounts for tryptophanase,Biological Enrichment,0.108074073,,Medium,
24,24,DLP12-prophage,,,,,,,,2,,,Accounts for DLP12 prophage sequences,Biological Enrichment,0.226457773,,High,
25,25,UK-noise-2,,,,,,,,1,,,Accounts for unknown locus b4747,Biological Enrichment,0.345474981,,High,
26,26,YcjW,ycjW,,,,,,,17,1,ycjW,Regulator of ycj operon related to odd carbon metabolism,Carbon Source Utilization,0.074235955,,Medium,
