,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene,annotation_category,exp_var,trn_enrich_params,note
e14 Removal,,,,,,,,,13,,,Genomic,0.34872635,,
SG_yzfA,,,,,,,,,3,,1,Other,0.053011885,,
SG_ytiD,,,,,,,,,1,,1,Other,0.047133965,,
Membrane-1,,,,,,,,,81,,,Biological,0.971942435,,Somewhat broad annotation
CysB-1,CysB,0,1.98E-07,0.411765,0.225806,0.291667,7,17,31,1,,Regulatory,0.964487763,,
CueR/CusR/HprR,CueR/CusR/HprR,6.09E-22,4.64E-16,0.888889,0.727273,0.8,8,9,11,3,,Regulatory,0.795047047,,
DLP12,,,,,,,,,10,,,Genomic,0.460481512,,
SG_yqhI,,,,,,,,,1,,1,Other,0.122003089,,
SG_icdC,,,,,,,,,2,,1,Other,0.081416612,,
NQ-ALE3,,,,,,,,,41,,,Genomic,0.143411329,,
YieP,YieP,2.72E-17,9.77E-13,1,0.6,0.75,6,6,10,1,,Regulatory,0.098174215,,
PhoB-1,PhoB,1.19E-17,0,0.191489362,0.9,0.315789474,9,47,10,1,,Regulatory,0.103376835,,
Curli,,,,,,,,,4,,,Biological,0.44096088,,
SG_ymdG,,,,,,,,,1,,1,Other,0.050175546,,
Fnr-1,Fnr,7.50E-24,2.84E-19,0.207920792,0.488372093,0.291666667,21,101,43,1,,Regulatory,1.23091843,,
TdcAR/CadC,TdcA/TdcR/CadC,1.93E-25,1.47E-19,1,0.75,0.857143,9,9,12,3,,Regulatory,0.510933373,max_regs=3,
Fimbriae,Lrp+H-NS,1.71E-19,0,0.583333333,1,0.736842105,7,12,7,2,,Regulatory,0.370398342,,
UTP,PurR,1.40E-08,7.00E-06,0.15625,0.416667,0.227273,5,32,12,1,,Regulatory,1.878394289,"max_regs=1, evidence=[0, 1, 2]",
Fnr+NarL,Fnr+NarL,3.24E-18,0,0.185185,0.833333,0.30303,10,54,12,2,,Regulatory,0.251102862,,
Crp-related,,,,,,,,,25,,,Biological,0.476674903,,
Fe-related-1,,,,,,,,,11,,,Biological,0.077414479,,
SG_yfaH,,,,,,,,,3,,1,Other,0.095203628,,
malE OE,,,,,,,,,1,,,Genomic,0.127124914,,
GalRS,GalR+GalS+Crp,1.09E-17,0,0.666667,1,0.8,6,9,6,3,,Regulatory,0.136041846,"evidence=[0, 1, 2]",
BtsR,BtsR,0.00095,1,0.25,0.4,1,1,4,1,,,Regulatory,0.300019465,used compute_regulon_enrichment,
SG_yafF,,,,,,,,,1,,1,Other,0.026207224,,
LPS,,,,,,,,,35,,,Biological,0.566936297,,
PyrR,PyrR,0,0,1,1,1,1,1,1,1,,Regulatory,0.259632081,,
PlaR,PlaR+IHF+Crp,2.30E-29,1.82E-23,1,0.909091,0.952381,10,10,11,3,,Regulatory,0.065672692,"max_regs=3, evidence=[0, 1, 2]",
SG_ygdT,,,,,,,,,1,,1,Other,0.04328479,,
FhlA,RpoN+FhlA,1.80E-20,3.40E-16,0.444444,1,0.615385,8,18,8,2,,Regulatory,0.100959869,,
RcsC-related,,,,,,,,,40,,,Biological,0.411492723,,
RhaS,Crp+RhaS,3.63E-18,4.78E-14,1,0.75,0.857143,6,6,8,2,,Regulatory,0.673926189,,
sokB/rdlD,sokB/rdlD,0,0,1,1,1,2,2,2,2,,Regulatory,0.075278237,,
NanR,NanR,4.83E-25,1.83E-20,0.818181818,0.9,0.857142857,9,11,10,1,,Regulatory,0.203187382,,
FadR,FadR,3.09E-19,0,0.409091,0.692308,0.514286,9,22,13,1,,Regulatory,0.219026461,"evidence=[0, 1, 2]",
ECA,,,,,,,,,10,,,Biological,0.645514801,,
NrdR,NrdR,1.09E-17,0,0.666666667,1,0.8,6,9,6,1,,Regulatory,0.318183813,,
Cytochrome bo3,,,,,,,,,14,,,Biological,0.366851715,,
DksA-related,,,,,,,,,13,,,Biological,0.806359568,,
soxS KO,,,,,,,,,2,,,Genomic,0.094036484,,
GlcC,IHF+ArcA+PdhR+GlcC,0.00E+00,0.00E+00,1,1,1,6,6,6,4,,Regulatory,0.267396495,,
BW25113,,,,,,,,,19,,,Genomic,0.128799565,,
BaeR+CpxR,BaeR+CpxR,7.61E-16,0,0.75,0.6,0.666667,6,8,10,2,,Regulatory,0.03934726,,
NikR+Fnr+NarL,NikR+Fnr+NarL+RpoN,5.45E-16,0.833333,1,0.909091,5,6,5,4,1,,Regulatory,0.316195639,used compute_regulon_enrichment,
Isoleucine,Ile-tRNA+ppGpp,1.73E-21,5.84E-17,0.875,1,0.933333,7,8,7,2,,Regulatory,0.24550263,No evidence arg,
PspF,RpoN+IHF+PspF,3.27E-15,4.63E-09,0.833333,0.833333,0.833333,5,6,6,3,,Regulatory,0.435774724,"max_regs=3, evidence=[0, 1, 2]",
OxyR,OxyR,4.12E-16,0,0.310344828,0.5,0.382978723,9,29,18,1,,Regulatory,0.193668266,,
Tryptophan,TrpR/Trp-tRNA/L-tryptophan,6.29E-25,3.40E-18,0.692308,1,0.818182,9,13,9,3,,Regulatory,0.262451885,No evidence arg,
