Sample	pe_sense	pe_antisense	failed
DDB-I-SF-S1-001-A4-RNAseq2_S1	0.0199	0.4826	0.4975
DDB-PD-003-AMBR-R15--S07-RNAseq_S3	0.0186	0.4505	0.5309
DDB-PD-004-AMBR-R3--S10-RNAseq2_S5	0.0229	0.4252	0.5518
DDB-PD-004-AMBR-R7--S07-RNAseq2_S4	0.0224	0.4065	0.5712
DDB-PD-005-AMBR-2--S07-RNAseq_S10	0.0209	0.4439	0.5353
DDB-PD-005-AMBR-3--S07-RNAseq_S11	0.0186	0.4267	0.5546
DDB-PD-005-AMBR-5--S02-RNAseq_S12	0.0185	0.449	0.5326
DDB-PD-005-AMBR-6--S07-RNAseq_S7	0.0183	0.4362	0.5455
DDB-PD-005-AMBR-7--S02-RNAseq_S13	0.0185	0.4443	0.5372
DDB-PD-005-AMBR-7--S07-RNAseq_S8	0.0192	0.4247	0.5561
DDB-PD-005-AMBR-8--S02-RNAseq_S9	0.019	0.4139	0.567
DDB-PD-009-AMBR-R5--S10-RNAseq2_S6	0.0201	0.4165	0.5634
DDB-PD-009-AMBR-R9--S10-RNAseq_S2	0.0189	0.4535	0.5276
