Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
DDB-I-SF-S1-001-A4-RNAseq2_S1	12215308.0	10736758.0	87.9	1478550.0	12.1
DDB-PD-003-AMBR-R15--S07-RNAseq_S3	11715600.0	10376572.0	88.57	1339028.0	11.43
DDB-PD-004-AMBR-R3--S10-RNAseq2_S5	12098015.0	10672635.0	88.22	1425380.0	11.78
DDB-PD-004-AMBR-R7--S07-RNAseq2_S4	10618165.0	9336383.0	87.93	1281782.0	12.07
DDB-PD-005-AMBR-2--S07-RNAseq_S10	11469814.0	10167343.0	88.64	1302471.0	11.36
DDB-PD-005-AMBR-3--S07-RNAseq_S11	13768967.0	12233376.0	88.85	1535591.0	11.15
DDB-PD-005-AMBR-5--S02-RNAseq_S12	12449616.0	10952745.0	87.98	1496871.0	12.02
DDB-PD-005-AMBR-6--S07-RNAseq_S7	13730348.0	11862137.0	86.39	1868211.0	13.61
DDB-PD-005-AMBR-7--S02-RNAseq_S13	13466035.0	11813583.0	87.73	1652452.0	12.27
DDB-PD-005-AMBR-7--S07-RNAseq_S8	14600707.0	12887573.0	88.27	1713134.0	11.73
DDB-PD-005-AMBR-8--S02-RNAseq_S9	11269154.0	9950878.0	88.3	1318276.0	11.7
DDB-PD-009-AMBR-R5--S10-RNAseq2_S6	10815029.0	9608742.0	88.85	1206287.0	11.15
DDB-PD-009-AMBR-R9--S10-RNAseq_S2	10614468.0	9400509.0	88.56	1213959.0	11.44
