sample_id,old_sample_id,study,project,condition,old_condition,rep_id,contact,creator,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,DDB_timepoint,DDB_timepoint_general,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,Process Time,Additional Details,Biological Replicates,R1,R2,BAM,alignment,DOI,GEO,Published,SRX,Run,Notes,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,exp_id,library creator,Antibiotic,Public,creator_email,ALE Endpoint,original_naming,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,Model,SRAStudy,BioProject,ProjectID,RNAseq_batch,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,growth_phase,batch_ID,Unnamed: 49,reactor_ID,time_ID,strain_ID,strain_name,time_in_phase,dilution_rate,phase,OD,additional_notes,sample_id.1,batch_zinc,feed_zinc
control__wt_glc__1,control__wt_glc__1,Control,control,wt_glc,wt_glc,1,Sangwoo Seo,Sangwoo Seo,4/17/13,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,Other_PRECISE,Other_PRECISE,,No,,MiSeq,,,2,,,control__wt_glc__1.bam,94.33,doi.org/10.1101/080929,GSE65643,1,SRX865357,SRR1787590,,PAIRED,ILLUMINA,True,True,True,True,control:wt_glc,True,True,ecoli_00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control__wt_glc__2,control__wt_glc__2,Control,control,wt_glc,wt_glc,2,Sangwoo Seo,Sangwoo Seo,4/17/13,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,Other_PRECISE,Other_PRECISE,,No,,MiSeq,,,2,,,control__wt_glc__2.bam,94.24,doi.org/10.1101/080929,GSE65643,1,SRX865358,SRR1787591,,PAIRED,ILLUMINA,True,True,True,True,control:wt_glc,True,True,ecoli_00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__wt_dpd__1,fur__wt_dpd__1,Fur,fur,wt_dpd,wt_dpd,1,Sangwoo Seo,Sangwoo Seo,10/2/13,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,Other_PRECISE,Other_PRECISE,0,No,,MiSeq,,,2,,,fur__wt_dpd__1.bam,98.04,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469840,SRR1168135,,PAIRED,ILLUMINA,True,True,True,True,fur:wt_dpd,True,True,ecoli_00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__wt_dpd__2,fur__wt_dpd__2,Fur,fur,wt_dpd,wt_dpd,2,Sangwoo Seo,Sangwoo Seo,10/2/13,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,Other_PRECISE,Other_PRECISE,0,No,,MiSeq,,,2,,,fur__wt_dpd__2.bam,98.3,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469841,SRR1168136,,PAIRED,ILLUMINA,True,True,True,True,fur:wt_dpd,True,True,ecoli_00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__wt_fe__1,fur__wt_fe__1,Fur,fur,wt_fe,wt_fe,1,Sangwoo Seo,Sangwoo Seo,9/5/13,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,Other_PRECISE,Other_PRECISE,1.06,No,,MiSeq,,,2,,,fur__wt_fe__1.bam,93.35,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469838,SRR1168133,,PAIRED,ILLUMINA,True,True,True,True,fur:wt_fe,True,True,ecoli_00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__wt_fe__2,fur__wt_fe__2,Fur,fur,wt_fe,wt_fe,2,Sangwoo Seo,Sangwoo Seo,9/5/13,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,Other_PRECISE,Other_PRECISE,1.06,No,,MiSeq,,,2,,,fur__wt_fe__2.bam,92.38,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469839,SRR1168134,,PAIRED,ILLUMINA,True,True,True,True,fur:wt_fe,True,True,ecoli_00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__delfur_dpd__1,fur__delfur_dpd__1,Fur,fur,delfur_dpd,delfur_dpd,1,Sangwoo Seo,Sangwoo Seo,10/2/13,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin (50 ug/mL),Batch,Other_PRECISE,Other_PRECISE,0,No,,MiSeq,,,2,,,fur__delfur_dpd__1.bam,98.07,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469844,SRR1168139,,PAIRED,ILLUMINA,True,True,True,True,fur:delfur_dpd,True,True,ecoli_00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__delfur_dpd__2,fur__delfur_dpd__2,Fur,fur,delfur_dpd,delfur_dpd,2,Sangwoo Seo,Sangwoo Seo,10/2/13,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin (50 ug/mL),Batch,Other_PRECISE,Other_PRECISE,0,No,,MiSeq,,,2,,,fur__delfur_dpd__2.bam,98.31,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469845,SRR1168140,,PAIRED,ILLUMINA,True,True,True,True,fur:delfur_dpd,True,True,ecoli_00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__delfur_fe2__1,fur__delfur_fe2__1,Fur,fur,delfur_fe2,delfur_fe2,1,Sangwoo Seo,Sangwoo Seo,9/5/13,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin (50 ug/mL),Batch,Other_PRECISE,Other_PRECISE,0.62,No,,MiSeq,,,2,,,fur__delfur_fe2__1.bam,92.8,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469842,SRR1168137,,PAIRED,ILLUMINA,True,True,True,True,fur:delfur_fe2,True,True,ecoli_00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur__delfur_fe2__2,fur__delfur_fe2__2,Fur,fur,delfur_fe2,delfur_fe2,2,Sangwoo Seo,Sangwoo Seo,9/5/13,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin (50 ug/mL),Batch,Other_PRECISE,Other_PRECISE,0.62,No,,MiSeq,,,2,,,fur__delfur_fe2__2.bam,93.24,doi.org/10.1038/ncomms5910,GSE54900,1,SRX469843,SRR1168138,,PAIRED,ILLUMINA,True,True,True,True,fur:delfur_fe2,True,True,ecoli_00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
