Sample	pe_sense	pe_antisense	failed
DDB-I-SF-S1-001-A5-RNAseq_S24	0.0379	0.4655	0.4966
DDB-PD-005-AMBR-R1--S07-RNAseq_S7	0.0497	0.4056	0.5447
DDB-PD-005-AMBR-R1--S10-RNAseq_S14	0.0245	0.3961	0.5794
DDB-PD-005-AMBR-R2--S07-RNAseq_S6	0.0513	0.3887	0.5601
DDB-PD-005-AMBR-R2--S10-RNAseq_S15	0.0254	0.4307	0.5439
DDB-PD-005-AMBR-R3--S07-RNAseq_S8	0.0516	0.3771	0.5713
DDB-PD-005-AMBR-R3--S10-RNAseq_S16	0.0249	0.4103	0.5648
DDB-PD-005-AMBR-R4--S02-RNAseq_S1	0.0335	0.4068	0.5598
DDB-PD-005-AMBR-R4--S07-RNAseq_S9	0.0272	0.4168	0.556
DDB-PD-005-AMBR-R4--S10-RNAseq_S17	0.0278	0.4349	0.5373
DDB-PD-005-AMBR-R5--S02-RNAseq_S2	0.0353	0.4286	0.536
DDB-PD-005-AMBR-R5--S07-RNAseq_S10	0.0316	0.3993	0.5691
DDB-PD-005-AMBR-R5--S10-RNAseq_S18	0.0327	0.4244	0.5429
DDB-PD-005-AMBR-R6--S02-RNAseq_S3	0.0369	0.4055	0.5575
DDB-PD-005-AMBR-R6--S07-RNAseq_S11	0.0335	0.4255	0.541
DDB-PD-005-AMBR-R6--S10-RNAseq_S19	0.0406	0.408	0.5514
DDB-PD-005-AMBR-R7--S02-RNAseq_S4	0.0472	0.3782	0.5746
DDB-PD-005-AMBR-R7--S07-RNAseq_S12	0.0411	0.405	0.5539
DDB-PD-005-AMBR-R7--S10-RNAseq_S20	0.0339	0.3989	0.5671
DDB-PD-005-AMBR-R8--S02-RNAseq_S5	0.0483	0.3879	0.5638
DDB-PD-005-AMBR-R8--S07-RNAseq_S13	0.0242	0.4056	0.5702
DDB-PD-005-AMBR-R8--S10-RNAseq_S21	0.029	0.4008	0.5703
DDB-PD-006-AMBR-R1--S02-RNAseq_S22	0.0273	0.4363	0.5363
DDB-PD-006-AMBR-R1--S07-RNAseq_S30	0.022	0.4202	0.5578
DDB-PD-006-AMBR-R1--S10-RNAseq_S35	0.0209	0.433	0.5461
DDB-PD-006-AMBR-R2--S02-RNAseq_S23	0.0308	0.4318	0.5374
DDB-PD-006-AMBR-R2--S10-RNAseq_S36	0.0235	0.443	0.5336
DDB-PD-006-AMBR-R5--S02-RNAseq_S25	0.025	0.4431	0.5318
DDB-PD-006-AMBR-R5--S07-RNAseq_S31	0.0204	0.4415	0.5381
DDB-PD-006-AMBR-R6--S03-RNAseq_S26	0.0236	0.4475	0.5289
DDB-PD-006-AMBR-R6--S07-RNAseq_S32	0.0226	0.3807	0.5967
DDB-PD-006-AMBR-R7--S03-RNAseq_S27	0.0205	0.4463	0.5332
DDB-PD-006-AMBR-R7--S07-RNAseq_S33	0.019	0.4402	0.5408
DDB-PD-006-AMBR-R8--S03-RNAseq_S28	0.0209	0.4755	0.5036
DDB-PD-006-AMBR-R8--S09-RNAseq_S34	0.025	0.47	0.5049
DDB-PD-006-AMBR-R9--S03-RNAseq_S29	0.0213	0.4706	0.5082
