Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
DDB-I-SF-S1-001-A5-RNAseq_S24	3688660.0	3343862.0	90.65	344798.0	9.35
DDB-PD-005-AMBR-R1--S07-RNAseq_S7	1805144.0	1555673.0	86.18	249471.0	13.82
DDB-PD-005-AMBR-R1--S10-RNAseq_S14	3315463.0	3016750.0	90.99	298713.0	9.01
DDB-PD-005-AMBR-R2--S07-RNAseq_S6	1183692.0	935723.0	79.05	247969.0	20.95
DDB-PD-005-AMBR-R2--S10-RNAseq_S15	2680443.0	2495394.0	93.1	185049.0	6.9
DDB-PD-005-AMBR-R3--S07-RNAseq_S8	1157016.0	884957.0	76.49	272059.0	23.51
DDB-PD-005-AMBR-R3--S10-RNAseq_S16	4058941.0	3714757.0	91.52	344184.0	8.48
DDB-PD-005-AMBR-R4--S02-RNAseq_S1	3572297.0	3181678.0	89.07	390619.0	10.93
DDB-PD-005-AMBR-R4--S07-RNAseq_S9	1883559.0	1748480.0	92.83	135079.0	7.17
DDB-PD-005-AMBR-R4--S10-RNAseq_S17	2408225.0	2106599.0	87.48	301626.0	12.52
DDB-PD-005-AMBR-R5--S02-RNAseq_S2	1462709.0	1132133.0	77.4	330576.0	22.6
DDB-PD-005-AMBR-R5--S07-RNAseq_S10	2033488.0	1562351.0	76.83	471137.0	23.17
DDB-PD-005-AMBR-R5--S10-RNAseq_S18	3457171.0	3207873.0	92.79	249298.0	7.21
DDB-PD-005-AMBR-R6--S02-RNAseq_S3	1766811.0	1425073.0	80.66	341738.0	19.34
DDB-PD-005-AMBR-R6--S07-RNAseq_S11	598263.0	518762.0	86.71	79501.0	13.29
DDB-PD-005-AMBR-R6--S10-RNAseq_S19	4006177.0	3756617.0	93.77	249560.0	6.23
DDB-PD-005-AMBR-R7--S02-RNAseq_S4	1657770.0	1354531.0	81.71	303239.0	18.29
DDB-PD-005-AMBR-R7--S07-RNAseq_S12	130173.0	2775.0	2.13	127398.0	97.87
DDB-PD-005-AMBR-R7--S10-RNAseq_S20	5129975.0	4766980.0	92.92	362995.0	7.08
DDB-PD-005-AMBR-R8--S02-RNAseq_S5	913311.0	731565.0	80.1	181746.0	19.9
DDB-PD-005-AMBR-R8--S07-RNAseq_S13	2610578.0	2396354.0	91.79	214224.0	8.21
DDB-PD-005-AMBR-R8--S10-RNAseq_S21	8428625.0	7895260.0	93.67	533365.0	6.33
DDB-PD-006-AMBR-R1--S02-RNAseq_S22	4077037.0	3780155.0	92.72	296882.0	7.28
DDB-PD-006-AMBR-R1--S07-RNAseq_S30	4550367.0	4230382.0	92.97	319985.0	7.03
DDB-PD-006-AMBR-R1--S10-RNAseq_S35	3436172.0	3179208.0	92.52	256964.0	7.48
DDB-PD-006-AMBR-R2--S02-RNAseq_S23	4554587.0	4196127.0	92.13	358460.0	7.87
DDB-PD-006-AMBR-R2--S10-RNAseq_S36	4027851.0	3735839.0	92.75	292012.0	7.25
DDB-PD-006-AMBR-R5--S02-RNAseq_S25	2344657.0	2150999.0	91.74	193658.0	8.26
DDB-PD-006-AMBR-R5--S07-RNAseq_S31	6187409.0	5735070.0	92.69	452339.0	7.31
DDB-PD-006-AMBR-R6--S03-RNAseq_S26	2693626.0	2490762.0	92.47	202864.0	7.53
DDB-PD-006-AMBR-R6--S07-RNAseq_S32	377.0	243.0	64.46	134.0	35.54
DDB-PD-006-AMBR-R7--S03-RNAseq_S27	3059943.0	2832446.0	92.57	227497.0	7.43
DDB-PD-006-AMBR-R7--S07-RNAseq_S33	5963243.0	5478751.0	91.88	484492.0	8.12
DDB-PD-006-AMBR-R8--S03-RNAseq_S28	3628226.0	3349926.0	92.33	278300.0	7.67
DDB-PD-006-AMBR-R8--S09-RNAseq_S34	3501322.0	3247690.0	92.76	253632.0	7.24
DDB-PD-006-AMBR-R9--S03-RNAseq_S29	3910292.0	3638749.0	93.06	271543.0	6.94
